,Log,Conta,Data,Pag.,Link,ID,Tipo,Nome,Registro,Município,Distância,DAEE Nº,Data_Protocolo,Finalidade,Tipo_serviço,Local,Latitude,Longitude,Volume,[Volume],Vazão,[Vazão]¹,[Vazão]²,Prazo,[Prazo],Nº_Requerimento,Diretoria,Nº_Extrato,Status,Data de abertura,Nome empresarial,Título do estabelecimento,Porte,Código 1,Código 2,Código 3,Logradouro,Número,CEP,Bairro/Distrito,Município.1,UF,E-mail,Telefone,Ente,Situação cadastral,Data situação,Motivo situação,Situação especial,Data situação especial,Índice do Cliente com este CNPJ,vendedor:CNPJ,Índice do Cliente com este Nome,vendedor:RS,Disparo,Status.1,Contagem,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
0,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_IND_1,IND,COPAPE PRODUTOS DE PETRÓLEO LTDA ,01.428.174/0002-01,GUARULHOS,120.0,DAEE 9603491,-,-,Captação Subterrânea,Aquífero Taubaté,"23°24'5.384""","45°51'37.256""",7,m³,-,-,-,,indeterminado,20190010768-YRL,Diretoria de Bacia do Paraíba e Litoral Norte,238,Processado!,1992-06-11 00:00:00,POWER SAVE INDUSTRIA E COMERCIO DE PRODUTOS PARA HIGIENE PESSOAL E TEXTIL EIRELI,POWER SAVE,EPP,"20.63-1-00 - Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal ",32.50-7-05 - Fabricação de materiais para medicina e odontologia ,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresári,R MARIA GRACIANO,51,12.380-000,TABOAO,SANTA BRANCA,SP,ARI@USEITE.COM.BR,(12) 3972-4518,*****,ATIVA,2004-10-30 00:00:00, ,,,-,-,-,-,IND Único,,1,,,,,,,,,,,,,,,,,,,,,
1,2019-11-07 18:21:20,0,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_IND_1,IND,COPAPE PRODUTOS DE PETRÓLEO LTDA ,01.428.174/0002-01,GUARULHOS,120.0,DAEE 9608068,-,-,Captação Superficial,Córrego da Vargem Grande,"23°11'7.920""","44°54'16.700""",6.72,m³,0.28,m³,/h,,indeterminado,20190011066-W32,Diretoria de Bacia do Paraíba e Litoral Norte,249,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,IND Único,,1,,,,,,,,,,,,,,,,,,,,,
2,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_1,DDO,POWER SAVE IND. E COM. DE PRODUTOS HIGIENE PESSOAL E TEXTIL EIRELI  EPP,68.146.992/0001-01,SANTA BRANCA,156.0,DAEE 9608174,-,-,Reservatório de Acumulação,,"22°40'34.171""","45°39'48.069""",-,-,-,-,-,,indeterminado,20190009237K9U,Diretoria de Bacia do Paraíba e Litoral Norte,250,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
3,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_10,DDO,BENEDITO HELTON DE OLIVEIRA,327.840.598-63,CUNHA,290.0,DAEE 9608187,-,-,Captação Subterrânea,Aquífero Taubaté,"23°11'8.860""","46°11'41.230""",6.68,m³,-,-,-,,indeterminado,20190013503-NS1,Diretoria de Bacia do Paraíba e Litoral Norte,251,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
4,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_11,DDO,ROBERTO FERRAGUT GALLO,327.629.008-16,SÃO BENTO DO SAPUCAÍ,250.0,DAEE 9608103,-,-,Captação Superficial,SNA1 Afluente MD do Ribeirão do Serrano,"22°43'9.000""","45°47'36.000""",4,m³,0.33,m³,/h,,indeterminado,20190012303-UFS,Diretoria de Bacia do Paraíba e Litoral Norte,252,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
5,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_12,DDO,JOSÉ DOMINGOS PELLEGRINO,572.482.308-04,IGARATÁ,115.0,DAEE 9608073,-,-,Captação Subterrânea,Aquífero Taubaté,"23°27'56.286""","45°58'17.188""",5,m³,-,-,-,,indeterminado,20190011417-95H,Diretoria de Bacia do Paraíba e Litoral Norte,253,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
6,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_13,DDO,DENISE BRANDÃO PINTO DE MENDONÇA TAMAKI,006.571.877-12,SÃO BENTO DO SAPUCAÍ,250.0,DAEE 9608085,-,-,Captação Subterrânea,Aquífero Taubaté,"23°15'21.758""","46°2'7.627""",10.03,m³,-,-,-,,indeterminado,20190011676-YFL,Diretoria de Bacia do Paraíba e Litoral Norte,254,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
7,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_14,DDO,OTÁVIO RODRIGUES MARTINS,252.961.228-52,GUARAREMA,150.0,DAEE 9604275,-,-,Lançamento Superficial,Rio Camburi,"23°46'31.720""","45°38'52.079""",23.4,m³,0.97,m³,/h,,indeterminado,20190012894-CK4,Diretoria de Bacia do Paraíba e Litoral Norte,255,Processado!,1985-01-10 00:00:00,IMOLA S/A IMOVEIS DE LAZER,********,DEMAIS,41.10-7-00 - Incorporação de empreendimentos imobiliários ,Não informada ,205-4 - Sociedade Anônima Fechada,R DAS CEREJEIRAS,100,13.530-000,LOTEAMENTO VILA PINHAL,ITIRAPINA,SP,JURIDICO.IMOLASA@GMAIL.COM,(11) 9964-1605,*****,ATIVA,2005-11-03 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
8,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_15,DDO,CAIQUE FERNANDES NEVES,407.145.078-90,JACAREÍ,141.0,DAEE 9304912,-,-,Poço local 001 DAEE 1000450,Aquífero Serra Geral,"21°10'47.320""","47°48'12.430""",4,m³,-,-,-,,indeterminado,20190010072GCJ,Diretoria de Bacia do Pardo Grande,368,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
9,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_16,DDO,ÍMOLA S.A  IMÓVEIS DE LAZER,54.088.521/0001-71,SÃO SEBASTIÃO,260.0,DAEE 9304912,-,-,Poço Local 002 DAEE 1000451,Aquífero Serra Geral,"21°10'47.640""","47°48'12.440""",4,m³,-,-,-,,indeterminado,20190010072-VPP,Diretoria de Bacia do Pardo Grande,368,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
